name,education,awards
Fernando J. Corbató,"['California Institute of Technology', 'Massachusetts Institute of Technology']","['Turing Award', 'Computer History Museum']"
Kit Cosper,[],[]
Patrick Cousot,['École Nationale Supérieure des Mines de Nancy'],"['CNRS Silver Medal', 'EADS', 'Saarland University', ""Ca' Foscari University of Venice"", 'ACM', 'SIGPLAN', 'IEEE Computer Society', 'IEEE', 'ACM Fellow', 'EATCS']"
Ingemar Cox,"['University College London', 'Oxford University']",[]
Damien Coyle,[],[]
Seymour Cray,['University of Minnesota'],[]
Nello Cristianini,"['University of Trieste', 'University of London', 'University of Bristol']","['Royal Society Wolfson Research Merit Award', 'ERC Advanced Grant']"
Jon Crowcroft,"['Westminster School', 'University of Cambridge', 'University College London']","['ACM Fellow', 'SIGCOMM Award']"
W. Bruce Croft,[],[]
Glen Culler,"['University of California, Berkeley', 'University of California, Los Angeles']","['National Medal of Technology', 'Seymour Cray Award', 'IEEE Computer Society']"
Haskell Curry,"['Harvard University', 'University of Göttingen']",[]
Luigi Dadda,['Politecnico di Milano'],[]
Ole-Johan Dahl,['University of Oslo'],"['Turing Award', 'IEEE John von Neumann Medal']"
Ryan Dahl,"['UC San Diego', 'University of Rochester']",[]
Andries van Dam,[],[]
Samir Das,"['Georgia Tech', 'Indian Institute of Science', 'Jadavpur University']",[]
Neil Daswani,"['Stanford University', 'Columbia University']",[]
Christopher J. Date,['University of Cambridge'],[]
Terry A. Davis,['Arizona State University'],[]
Jeff Dean,"['University of Minnesota', 'University of Washington']",[]
Erik Demaine,"['Dalhousie University', 'University of Waterloo']","['MacArthur Fellow', 'Nerode Prize', 'ACM Fellow']"
Tom DeMarco,"['Cornell University', 'Columbia University', 'University of Paris']",['Stevens Award']
Richard DeMillo,"['University of St. Thomas', 'Georgia Institute of Technology']",[]
Dorothy E. Denning,"['University of Michigan', 'Purdue University']","['ACM Fellow', 'National Cyber Security Hall of Fame']"
Peter J. Denning,"['Massachusetts Institute of Technology', 'Manhattan College']","['SIGCSE Award for Lifetime Service to Computer Science Education', 'SIGCSE Award for Outstanding Contribution to Computer Science Education']"
Michael Dertouzos,[],[]
A. K. Dewdney,[],[]
Robert Dewar,['University of Chicago'],[]
Vinod Dham,"['Delhi College of Engineering', 'Delhi Technological University', 'Delhi University']",[]
Jan Dietz,[],[]
Whitfield Diffie,['Massachusetts Institute of Technology'],"['Kanellakis Award', 'Marconi Prize', 'IEEE Hamming Medal', 'Computer History Museum', 'Turing Award', 'ForMemRS']"
Edsger W. Dijkstra,"['Leiden University', 'University of Amsterdam']","['Turing Award', 'Harry H. Goode Memorial Award', 'SIGCSE Outstanding Contribution', 'ACM Fellow', 'Dijkstra Prize']"
Matthew Dillon,"['University of California, Berkeley']",[]
Alan Dix,[],[]
Jack Dongarra,"['Chicago State University', 'Illinois Institute of Technology', 'University of New Mexico']","['Member of the National Academy of Sciences', 'ACM Turing Award', 'IEEE Computer Pioneer Award', 'Foreign Member of the Royal Society', 'SIAM/ACM Prize in Computational Science and Engineering', 'ACM/IEEE Ken Kennedy Award', 'IEEE Charles Babbage Award', 'SIAM SIAG/Supercomputing Career Prize', 'SIAM Fellow', 'IEEE Medal of Excellence in Scalable Computing', 'IEEE Computer Society Sidney Fernbach Memorial Award', 'Member of the National Academy of Engineering', 'ACM Fellow', 'IEEE Fellow', 'Fellow of the American Association for the Advancement of Science']"
Marco Dorigo,[],[]
Paul Dourish,['Computer Science'],[]
Charles Stark Draper,"['Massachusetts Institute of Technology', 'Stanford University']","['Magellanic Premium', 'National Medal of Science', 'Daniel Guggenheim Medal', 'Rufus Oldenburger Medal', 'Allan D. Emil Memorial Award', 'Richard E. Bellman Control Heritage Award']"
Susan Dumais,"['Indiana University', 'Bates College']",[]
Adam Dunkels,['Swedish Institute of Computer Science'],[]
Jon Michael Dunn,"['Oberlin College', 'University of Pittsburgh']",[]
Schahram Dustdar,[],[]
Peter Eades,[],[]
Annie Easley,['Cleveland State University'],[]
Wim Ebbinkhuijsen,[],[]
J. Presper Eckert,['University of Pennsylvania'],"['Harry H. Goode Memorial Award', 'National Medal of Science', 'Harold Pender Award', 'IEEE Emanuel R. Piore Award']"
Alan Edelman,"['Yale University', 'Massachusetts Institute of Technology']","['Chauvenet Prize', 'IEEE Computer Society Charles Babbage Award', 'Sidney Fernbach Award']"
Brendan Eich,"['University of Illinois Urbana-Champaign', 'Santa Clara University']",[]
Philip Emeagwali,"['George Washington University School of Engineering and Applied Science', 'Oregon State University']",[]
E. Allen Emerson,"['Harvard', 'UT Austin']","['Turing Award', 'Paris Kanellakis Award']"
Douglas Engelbart,"['Oregon State University', 'University of California, Berkeley']","['National Medal of Technology', 'Lemelson–MIT Prize', 'Turing Award', 'BCS', 'Lovelace Medal', 'Norbert Wiener Award for Social and Professional Responsibility', 'Computer History Museum']"
Barbara Engelhardt,"['Stanford University', 'University of California, Berkeley']",['Overton Prize']
David Eppstein,"['Stanford University', 'Columbia University']",[]
Andrey Yershov,['Moscow State University'],[]
Philip Don Estridge,['University of Florida'],[]
Oren Etzioni,"['Harvard University', 'Carnegie Mellon University']",['AAAI']
Christopher Evans,"['University College London', 'University of Reading']",[]
David C. Evans,[],['IEEE Emanuel R. Piore Award']
Shimon Even,['Harvard University'],[]
Scott Fahlman,['Massachusetts Institute of Technology'],"['Fellow', 'American Association for Artificial Intelligence']"
Edward Feigenbaum,['Carnegie Mellon University'],"['Turing Award', 'Computer Pioneer Award', 'AAAI Fellow', 'ACM Fellow']"
Edward Felten,"['California Institute of Technology', 'University of Washington']",['EFF Pioneer Award']
Tim Finin,"['MIT', 'University of Illinois', 'Alma mater', 'University of Illinois']","['ACM Fellow', 'AAAI Fellow']"
Raphael Finkel,[],[]
Donald Firesmith,['Arizona State University'],[]
Gary William Flake,[],[]
Tommy Flowers,['University of London'],[]
Robert W. Floyd,['University of Chicago'],"['Turing Award', 'Computer Pioneer Award']"
Sally Floyd,"['University of California, Berkeley']",[]
Lawrence J. Fogel,"['New York University', 'Rutgers University', 'University of California, Los Angeles']",[]
