name,education,awards
Jaime Teevan,"['Yale University', 'Massachusetts Institute of Technology']","['TR35', 'Karen Spärck Jones', 'ACM Fellow', 'CHI Academy', 'TIME 100']"
Shang-Hua Teng,"['Shanghai Jiao Tong University', 'University of Southern California', 'Carnegie Mellon University']","['Gödel Prize', 'Fulkerson Prize']"
Larry Tesler,['Stanford University'],[]
Avie Tevanian,[],[]
Charles P. Thacker,"['University of California, Berkeley']","['IEEE John von Neumann Medal', 'Turing Award', 'Computer History Museum', 'Eckert–Mauchly Award']"
Daniel Thalmann,['University of Geneva'],['Paul-Sabatier University']
Ken Thompson,"['University of California, Berkeley']","['IEEE Emanuel R. Piore Award', 'Turing Award', 'Member of the National Academy of Sciences', 'IEEE Richard W. Hamming Medal', 'Computer Pioneer Award', 'National Medal of Technology', 'Tsutomu Kanai Award', 'Harold Pender Award', 'Japan Prize']"
Simon Thompson,['University of Oxford'],[]
Sebastian Thrun,"['University of Bonn', 'University of Hildesheim']","['National Science Foundation CAREER Award', 'AAAI Fellow', 'DARPA Grand Challenge']"
Walter F. Tichy,"['Technische Universität München', 'Carnegie Mellon University']",[]
Seinosuke Toda,[],[]
Chai Keong Toh,"['University of Cambridge', 'University of Manchester']","['IEEE Kiyo Tomiyasu Award', 'IET Achievement Medals', 'IEEE Fellow', 'AAAS Fellow', 'IET Fellow', 'BCS', 'FREng']"
Linus Torvalds,['University of Helsinki'],[]
Leonardo Torres Quevedo,"[""Official School of the Road Engineers' Corps of Madrid"", 'es']","['Civil Order of Alfonso XII', 'Echegaray Medal', 'Order of Charles III', 'Military Order of Saint James of the Sword', 'Legion of Honour', 'Order of the Spanish Republic']"
Godfried Toussaint,[],[]
Gloria Townsend,['Indiana University'],['SIGCSE Award for Lifetime Service to Computer Science Education']
Edwin E. Tozer,[],[]
Joseph F. Traub,[],[]
John V. Tucker,[],[]
John Tukey,"['Brown University', 'Princeton University']","['Wilks Memorial Award', 'National Medal of Science', 'Shewhart Medal', 'IEEE Medal of Honor', 'Deming Medal', 'Foreign Member of the Royal Society']"
Alan Turing,"['University of Cambridge', 'Princeton University']","[""Smith's Prize""]"
David Turner,['University of Oxford'],[]
Murray Turoff,"['University of California - Berkeley', 'Brandeis University']",['EFF Pioneer Award']
Jeffrey Ullman,"['Columbia University', 'Princeton University']","['Knuth Prize', 'IEEE John von Neumann Medal', 'Turing Award']"
Leslie Valiant,"['University of Cambridge', 'Imperial College London', 'University of Warwick']","['Turing Award', 'EATCS Award', 'Member of the National Academy of Sciences', 'Knuth Prize', 'AAAI Fellow', 'Nevanlinna Prize']"
Vladimir Vapnik,"['Institute of Control Sciences, Russian Academy of Sciences', 'Uzbek State University']","['Kolmogorov Medal', 'IEEE John von Neumann Medal', 'Kampé de Fériet', 'C&C Prize', 'Benjamin Franklin Medal', 'IEEE Frank Rosenblatt Award', 'IEEE Neural Networks Pioneer Award', 'Paris Kanellakis Award', 'National Academy of Engineering', 'Gabor Award, International Neural Network Society', 'Alexander Humboldt Research Award']"
Moshe Vardi,"['Bar-Ilan University', 'Weizmann Institute of Science', 'Hebrew University of Jerusalem']","['ACM Fellow', 'Gödel Prize', 'AAAI Fellow', 'Paris Kanellakis Award', 'Harry H. Goode Memorial Award', 'Member of the National Academy of Sciences', 'Knuth Prize']"
Dorothy Vaughan,['Wilberforce University'],[]
Bernard Vauquois,[],[]
Umesh Vazirani,"['MIT', 'University of California, Berkeley']",['Fulkerson Prize']
Manuela M. Veloso,"['Instituto Superior Técnico', 'University of Lisbon', 'Boston University', 'Carnegie Mellon University']","['National Science Foundation CAREER Award', 'ACM Fellow', 'AAAI Fellow']"
François Vernadat,[],[]
Richard Veryard,[],[]
Sergiy Vilkomir,"['Kharkov State University', 'Kharkov Polytechnic Institute']","['Google', 'UNC']"
Paul Vitányi,"['Delft University of Technology', 'Free University of Amsterdam']",[]
Andrew Viterbi,"['Massachusetts Institute of Technology', 'University of Southern California']","['IEEE Alexander Graham Bell Medal', 'Marconi Prize', 'Claude E. Shannon Award', 'Wireless Hall of Fame', 'National Medal of Science', 'IEEE/RSE James Clerk Maxwell Medal', 'Millennium Technology Prize', 'IEEE Medal of Honor', 'John Fritz Medal']"
Jeffrey Vitter,"['University of Notre Dame', 'Duke University', 'MBA', 'Stanford University']",[]
Paul Vixie,['Keio University'],[]
Eiiti Wada,['University of Tokyo'],[]
David A. Wagner,"['University of California, Berkeley']",[]
David Waltz,['Massachusetts Institute of Technology'],"['ACM Fellow', 'AAAI Fellow']"
James Z. Wang,"['Stanford University', 'University of Minnesota']",[]
Steve Ward,[],[]
Manfred K. Warmuth,"['University of Colorado, Boulder']",['Leopoldina']
David H. D. Warren,['University of Edinburgh'],[]
Kevin Warwick,"['Aston University', 'Imperial College London']","['FIET', 'Royal Institution Christmas Lectures', 'Mountbatten Medal', 'Ellison-Cliffe Medal']"
Jan Węglarz,['Poznań University of Technology'],[]
Philip Wadler,"['Stanford University', 'Carnegie Mellon University']","['Fellow of the Royal Society of Edinburgh', 'ACM Fellow', 'ACM Distinguished Service Award', 'Fellow of the Royal Society']"
Peter Wegner,[],"['ACM', 'Austrian Cross of Honour for Science and Art, First Class']"
Joseph Henry Wegstein,['University of Illinois'],[]
Peter J. Weinberger,"['University of California, Berkeley']",[]
Mark Weiser,"['New College of Florida', 'University of Michigan']",[]
Joseph Weizenbaum,['Wayne State University'],[]
David Wheeler,['University of Cambridge'],"['Fellow of the Royal Society', 'Computer Pioneer Award']"
Franklin H. Westervelt,[],[]
Steve Whittaker,[],"['SIGCHI', 'Association for Computing Machinery', 'SIGCHI']"
Jennifer Widom,"['Cornell University', 'Indiana University Jacobs School of Music']","['Erna Hamburger Prize', 'ACM', 'American Academy of Arts & Sciences', 'National Academy of Engineering', 'ACM Fellow', 'Guggenheim Foundation Fellow']"
Gio Wiederhold,"['University of California, San Francisco']","['IEEE Fellow', 'ACM Fellow', 'Fellow of the ACMI']"
Norbert Wiener,"['Tufts College', 'Cornell University', 'Harvard University']","['Bôcher Memorial Prize', 'National Medal of Science']"
Adriaan van Wijngaarden,['Delft University of Technology'],['IEEE Computer Pioneer Award']
Mary Allen Wilkes,"['Wellesley College', 'Harvard Law School']",[]
Maurice Wilkes,"['King Edward VI College, Stourbridge', 'University of Cambridge']","['Turing Award', 'Distinguished Fellow of the British Computer Society', 'Faraday Medal', 'Harold Pender Award', 'Mountbatten Medal']"
Yorick Wilks,['University of Cambridge'],[]
James H. Wilkinson,"['Trinity College, Cambridge']","['Chauvenet Prize', 'ACM Turing Award', 'FRS']"
Sophie Wilson,"['Selwyn College, Cambridge', 'University of Cambridge']","['Fellow of the Royal Academy of Engineering', 'Computer History Museum', 'Fellow of the Royal Society', 'Fellow of Selwyn College', 'Honorary Doctorate', 'Distinguished Fellow of the British Computer Society']"
Shmuel Winograd,"['New York University', 'Massachusetts Institute of Technology']",[]
Terry Winograd,"['Colorado College', 'Massachusetts Institute of Technology']",['IJCAI Computers and Thought Award']
Patrick Winston,['MIT'],['IJCAI Computers and Thought Award']
Niklaus Wirth,"['Université Laval', 'University of California, Berkeley']","['IEEE Emanuel R. Piore Award', 'Turing Award', 'SIGPLAN', 'Computer History Museum', 'Marcel Benoist Prize']"
Neil Wiseman,"['University of Cambridge', 'University of Illinois', 'Queen Mary College']",[]
Dennis E. Wisnosky,[],[]
Stephen Wolfram,"['Dragon School', 'Eton College', ""St. John's College, Oxford"", 'California Institute of Technology']",['MacArthur Fellowship']
Mike Woodger,['University College London'],[]
Philip Woodward,['Oxford University'],"['Royal Academy of Engineering', 'IEEE Dennis J. Picard Medal for Radar Technologies and Applications', 'Worshipful Company of Clockmakers']"
Beatrice Worsley,"['University of Toronto', 'Massachusetts Institute of Technology', 'University of Cambridge']",[]
Steve Wozniak,"['University of Colorado Boulder', 'De Anza College', 'University of California, Berkeley', 'BSE']",[]
Jie Wu,[],[]
William Wulf,"['University of Illinois Urbana-Champaign', 'University of Virginia']",[]
Mihalis Yannakakis,"['National Technical University of Athens', 'Princeton University']",['Knuth Prize']
Andrew Yao,"['National Taiwan University', 'Harvard University', 'University of Illinois at Urbana–Champaign']","['Pólya Prize (SIAM)', 'Knuth Prize', 'Turing Award', 'Kyoto Prize']"
John Yen,"['University of California, Berkeley', 'Santa Clara University', 'National Taiwan University', 'National Hsinchu Senior High School']","['IEEE', 'Fellow', 'AAAI Senior Member']"
Nobuo Yoneda,['University of Tokyo'],[]
Edward Yourdon,['Massachusetts Institute of Technology'],[]
Moti Yung,['Columbia University'],"['Computer Pioneer Award', 'McDowell Award', 'ACM Fellow', 'EATCS Fellow', 'IEEE Fellow', 'IACR Fellow']"
Lotfi A. Zadeh,"['University of Tehran', 'Massachusetts Institute of Technology', 'Columbia University']","['Eringen Medal', 'IEEE Hamming Medal', 'Rufus Oldenburger Medal', 'IEEE Medal of Honor', 'BBVA Foundation Frontiers of Knowledge Award', 'Honorary Doctorate', 'Tehran University', 'ACM Fellow', 'IEEE Fellow', 'AAAS', 'AAAI', 'National Academy of Engineering']"
Hans Zantema,[],[]
Arif Zaman,"['Stanford University', 'Harvey Mudd College', 'Claremont Graduate University']",[]
Stanley Zdonik,['Massachusetts Institute of Technology'],[]
Hussein Zedan,['University of Bristol'],[]
Shlomo Zilberstein,"['University of California, Berkeley', 'Technion – Israel Institute of Technology']",[]
Jill Zimmerman,"['Purdue University', 'University of Minnesota']",[]
Mark Zuckerberg,['Harvard University'],[]
Konrad Zuse,['Technical University of Berlin'],"['Werner von Siemens Ring', 'Harry H. Goode Memorial Award', 'George Stibitz', 'Wilhelm Exner Medal', 'Order of Merit of the Federal Republic of Germany', 'Computer History Museum']"
